Identyfikator Produktu (ID);Atrybut (Nazwa:Typ:Pozycja);Wartość (Wartość:Pozycja);Ilość
44;Rozmiar:rozmiar:0; 46:0;100
45;Rozmiar:rozmiar:0; 32:0;100
45;Rozmiar:rozmiar:0; 34:0;100
45;Rozmiar:rozmiar:0; 36:0;100
45;Rozmiar:rozmiar:0; 38:0;100
45;Rozmiar:rozmiar:0; 40:0;100
45;Rozmiar:rozmiar:0; 42:0;100
45;Rozmiar:rozmiar:0; 44:0;100
45;Rozmiar:rozmiar:0; 46:0;100
46;Rozmiar:rozmiar:0; Jeden rozmiar:0;100
47;Rozmiar:rozmiar:0; L:0;100
47;Rozmiar:rozmiar:0; M:0;100
47;Rozmiar:rozmiar:0; S:0;100
47;Rozmiar:rozmiar:0; XL:0;100
47;Rozmiar:rozmiar:0; XS:0;100
48;Rozmiar:rozmiar:0; 32:0;100
48;Rozmiar:rozmiar:0; 34:0;100
48;Rozmiar:rozmiar:0; 36:0;100
48;Rozmiar:rozmiar:0; 38:0;100
48;Rozmiar:rozmiar:0; 40:0;100
48;Rozmiar:rozmiar:0; 42:0;100
48;Rozmiar:rozmiar:0; 44:0;100
48;Rozmiar:rozmiar:0; 46:0;100
49;Rozmiar:rozmiar:0; M/L:0;100
49;Rozmiar:rozmiar:0; XS/S:0;100
50;Rozmiar:rozmiar:0; 32:0;100
50;Rozmiar:rozmiar:0; 34:0;100
50;Rozmiar:rozmiar:0; 36:0;100
50;Rozmiar:rozmiar:0; 38:0;100
50;Rozmiar:rozmiar:0; 40:0;100
50;Rozmiar:rozmiar:0; 42:0;100
51;Rozmiar:rozmiar:0; 32:0;100
51;Rozmiar:rozmiar:0; 34:0;100
51;Rozmiar:rozmiar:0; 36:0;100
51;Rozmiar:rozmiar:0; 38:0;100
51;Rozmiar:rozmiar:0; 40:0;100
51;Rozmiar:rozmiar:0; 42:0;100
51;Rozmiar:rozmiar:0; 44:0;100
51;Rozmiar:rozmiar:0; 46:0;100
52;Rozmiar:rozmiar:0; 32:0;100
52;Rozmiar:rozmiar:0; 34:0;100
52;Rozmiar:rozmiar:0; 36:0;100
52;Rozmiar:rozmiar:0; 38:0;100
52;Rozmiar:rozmiar:0; 40:0;100
52;Rozmiar:rozmiar:0; 42:0;100
52;Rozmiar:rozmiar:0; 44:0;100
53;Rozmiar:rozmiar:0; 32:0;100
53;Rozmiar:rozmiar:0; 34:0;100
53;Rozmiar:rozmiar:0; 36:0;100
53;Rozmiar:rozmiar:0; 38:0;100
53;Rozmiar:rozmiar:0; 40:0;100
53;Rozmiar:rozmiar:0; 42:0;100
53;Rozmiar:rozmiar:0; 44:0;100
53;Rozmiar:rozmiar:0; 46:0;100
53;Rozmiar:rozmiar:0; 48:0;100
53;Rozmiar:rozmiar:0; 50:0;100
54;Rozmiar:rozmiar:0; 32:0;100
54;Rozmiar:rozmiar:0; 34:0;100
54;Rozmiar:rozmiar:0; 36:0;100
54;Rozmiar:rozmiar:0; 38:0;100
54;Rozmiar:rozmiar:0; 40:0;100
54;Rozmiar:rozmiar:0; 42:0;100
