Identyfikator Produktu (ID);Atrybut (Nazwa:Typ:Pozycja);Wartość (Wartość:Pozycja)
36;Rozmiar:rozmiar:0; 38:0
36;Rozmiar:rozmiar:0; 40:0
36;Rozmiar:rozmiar:0; 42:0
36;Rozmiar:rozmiar:0; 44:0
36;Rozmiar:rozmiar:0; 46:0
36;Rozmiar:rozmiar:0; 48:0
36;Rozmiar:rozmiar:0; 50:0
37;Rozmiar:rozmiar:0; 24:0
37;Rozmiar:rozmiar:0; 25:0
37;Rozmiar:rozmiar:0; 26:0
37;Rozmiar:rozmiar:0; 27:0
37;Rozmiar:rozmiar:0; 28:0
37;Rozmiar:rozmiar:0; 29:0
37;Rozmiar:rozmiar:0; 30:0
37;Rozmiar:rozmiar:0; 31:0
37;Rozmiar:rozmiar:0; 32:0
37;Rozmiar:rozmiar:0; 33:0
37;Rozmiar:rozmiar:0; 34:0
37;Rozmiar:rozmiar:0; 36:0
38;Rozmiar:rozmiar:0; L:0
38;Rozmiar:rozmiar:0; M:0
38;Rozmiar:rozmiar:0; S:0
38;Rozmiar:rozmiar:0; XL:0
38;Rozmiar:rozmiar:0; XS:0
39;Rozmiar:rozmiar:0; L:0
39;Rozmiar:rozmiar:0; M:0
39;Rozmiar:rozmiar:0; S:0
39;Rozmiar:rozmiar:0; XL:0
39;Rozmiar:rozmiar:0; XS:0
40;Rozmiar:rozmiar:0; 32:0
40;Rozmiar:rozmiar:0; 34:0
40;Rozmiar:rozmiar:0; 36:0
40;Rozmiar:rozmiar:0; 38:0
40;Rozmiar:rozmiar:0; 40:0
40;Rozmiar:rozmiar:0; 42:0
40;Rozmiar:rozmiar:0; 44:0
40;Rozmiar:rozmiar:0; 46:0
40;Rozmiar:rozmiar:0; 48:0
40;Rozmiar:rozmiar:0; 50:0
41;Rozmiar:rozmiar:0; 32:0
41;Rozmiar:rozmiar:0; 34:0
41;Rozmiar:rozmiar:0; 36:0
41;Rozmiar:rozmiar:0; 38:0
41;Rozmiar:rozmiar:0; 40:0
41;Rozmiar:rozmiar:0; 42:0
41;Rozmiar:rozmiar:0; 44:0
41;Rozmiar:rozmiar:0; 46:0
41;Rozmiar:rozmiar:0; 48:0
41;Rozmiar:rozmiar:0; 50:0
42;Rozmiar:rozmiar:0; 32:0
42;Rozmiar:rozmiar:0; 34:0
42;Rozmiar:rozmiar:0; 36:0
42;Rozmiar:rozmiar:0; 38:0
42;Rozmiar:rozmiar:0; 40:0
42;Rozmiar:rozmiar:0; 42:0
42;Rozmiar:rozmiar:0; 44:0
42;Rozmiar:rozmiar:0; 46:0
42;Rozmiar:rozmiar:0; 48:0
42;Rozmiar:rozmiar:0; 50:0
43;Rozmiar:rozmiar:0; 32:0
43;Rozmiar:rozmiar:0; 34:0
43;Rozmiar:rozmiar:0; 36:0
43;Rozmiar:rozmiar:0; 38:0
43;Rozmiar:rozmiar:0; 40:0
43;Rozmiar:rozmiar:0; 42:0
43;Rozmiar:rozmiar:0; 44:0
43;Rozmiar:rozmiar:0; 46:0
43;Rozmiar:rozmiar:0; 48:0
43;Rozmiar:rozmiar:0; 50:0
44;Rozmiar:rozmiar:0; 24:0
44;Rozmiar:rozmiar:0; 25:0
44;Rozmiar:rozmiar:0; 26:0
44;Rozmiar:rozmiar:0; 27:0
44;Rozmiar:rozmiar:0; 28:0
44;Rozmiar:rozmiar:0; 29:0
44;Rozmiar:rozmiar:0; 30:0
44;Rozmiar:rozmiar:0; 31:0
44;Rozmiar:rozmiar:0; 32:0
44;Rozmiar:rozmiar:0; 33:0
44;Rozmiar:rozmiar:0; 34:0
44;Rozmiar:rozmiar:0; 36:0
45;Rozmiar:rozmiar:0; 32:0
45;Rozmiar:rozmiar:0; 34:0
45;Rozmiar:rozmiar:0; 36:0
45;Rozmiar:rozmiar:0; 38:0
45;Rozmiar:rozmiar:0; 40:0
45;Rozmiar:rozmiar:0; 42:0
45;Rozmiar:rozmiar:0; 44:0
45;Rozmiar:rozmiar:0; 46:0
45;Rozmiar:rozmiar:0; 48:0
45;Rozmiar:rozmiar:0; 50:0
46;Rozmiar:rozmiar:0; L:0
46;Rozmiar:rozmiar:0; M:0
46;Rozmiar:rozmiar:0; S:0
46;Rozmiar:rozmiar:0; XS:0
47;Rozmiar:rozmiar:0; 32:0
47;Rozmiar:rozmiar:0; 34:0
47;Rozmiar:rozmiar:0; 36:0
47;Rozmiar:rozmiar:0; 38:0
47;Rozmiar:rozmiar:0; 40:0
47;Rozmiar:rozmiar:0; 42:0
47;Rozmiar:rozmiar:0; 44:0
